Help!	Kapadle
Jump.	Laagyun
Jump.	Laagi
Jump.	Laagi
Hello!	Solmelu
Hello!	Solmelu
Cheers!	Cheers
Cheers!	Cheers
I	Yan
You	Ee
She	Aal
You	Eer
Him	Aye
He	Aye
He	Aar
Got it?	Artha aanda?
I'm OK.	Yan sari ulle.
Awesome!	Baari yedde
Come in.	Ulai Bale
Get out!	Pidai pola
Go away!	Nadapu multhudh
Goodbye!	Shuba-aavad
Perfect!	Sari
Perfect!	Sari
Welcome.	Upachara
Welcome.	Upachara
Have fun.	Gammath manpu
Have fun.	Gammath manple
Have fun.	Gammath manpu
I forgot.	Yenk mareth pond
I forgot.	Mareth pond 
I'll pay.	Yan kaas korpe
I'm fine.	Yan sari ulle
I'm full.	Yenk banji jinjind
Let's go!	Namma Poi
Answer me.	Yenk uttara koru
Birds fly.	Pakki parund
Excuse me.	Kshamisi
Fantastic!	Baari porlu
I fear so.	Yenk aikaadh podige aapund
I laughed.	Yan thelthe
I'm bored.	Yenk uru aapund
I'm broke.	Yennada naya paise ijji
I'm tired.	Yenk bachind
It's cold.	Chali undu
Who knows?	Yereg gothu?
Who knows?	Yereg gothu?
Who knows?	Yereg gothu?
Who knows?	Yereg gothu?
Wonderful!	Adhbutha
Birds sing.	Pakki padhya panpund
Come on in.	Ullai bale
Definitely!	Kandithavaadh
Don't move.	Pandhodchi
Fire burns.	Thoo pothund
Follow him.	Ayena pira pola
I am tired.	Yenk bachind
I can swim.	Yenk neendhare barpund
I can swim.	Yenk neendhare barpund
I love you.	Yan ninnan mokke manpve
I love you.	Yenk ee panda ista
I love you.	Yenk ee panda ista
I love you.	Yenk ee panda ista
I love you.	Yan ninnan mokke manpve
I will try.	Yan prayathna manpve
I'm coming.	Yan barondh ulle
I'm hungry!	Yenk bada avondh undu
I'm hungry!	Yenk bada avondh undu
Let him in.	Ayeg ulai barre budle
Let him in.	Areg ulai barre budle
Let me out!	Ayeg pidai budle
Once again.	Kudonji sarthi
Please sit.	Dhayamanthudh Kulle
What's new?	Posath dada undu?
What's new?	Dada posath undu?
Who's that?	Av yer?
Don't shout.	Kalkodchi
Don't shout.	Manipandhe kullu
He stood up.	Aye lakidh unthye
He's strong.	Aye gatti ulle 
How are you?	Yencha ulla?
How are you?	Ee yencha ulla?
How are you?	Eer yencha ullar?
How are you?	Eer yencha ullar?
How are you?	Eer yencha ullar?
How are you?	Eer yencha ullar?
How are you?	Eer yencha ullar?
I am hungry.	Yenk bada avondh undu
I like both.	Yenk radla ista
I like cake.	Yenk cake ista
I like dogs.	Yenk nayi ista
I like math.	Yenk lekka ista
I'll attend.	Yan barpe
Nobody came.	Yerla Baijer
Was I wrong?	Yan manthina thappa?
What's this?	Indh dada?
Are you sick?	Nik ushar ijja
Bring him in.	Ayen ulai kanle
Come with us.	Yenklena ottu bala
Happy Easter!	Easter parbadha solmelu
Has Tom left?	Tom budthena?
He is French.	Aye French.
I am at home.	Yan illad ulle
I can't move.	Yan anchi inchi porre apuji
I don't know.	Yenk gothuji 
I don't know.	Yenk gothuji 
I have a car.	Yennada gaadi undu
I have a dog.	Yennada nayi undu
I understand.	Yenk artha aapund.
I'm a doctor.	Yan doctor
I'm starving!	Yenk jor bada avondh undu
It is a book.	Avu onji booku
It's snowing.	Avu onji booku
It's too big.	Avu masth malla undu
Please leave.	Dhaya-manthudh pola
Unbelievable!	Nambare avandhina
We are happy.	Nama kushit ulla
What is this?	Indh dada?
Are you tired?	Nik bachinda?
Can you drive?	Nik gaadi budre barpunda?
Don't get fat.	Thora avodchi
Don't give in.	Bud-dhu korodchi
Drink it down.	Pardh kaali manpu
Everyone dies.	Matherla saiper
Flowers bloom.	Poo aralundu
I am who I am.	Yan yer yaane yan
I'll take him.	Yan ayen pathondh pope
I'm tired now.	Yenk ithe bachind
I'm very busy.	Yenk masth bele undu
Is that a cat?	Avu puchche na?
It's for free.	Avu Dharmagh 
It's for free.	Avu Dharmagh 
Let me try it.	Yan ora manthdh thoope
Let me try it.	Yenk ora manpare budu 
Let me try it.	Yenk ora manpare budle
Make it quick.	Rappa manpu 
May I come in?	Yan ulai baroli ya?
Open the door.	Bakhil deppu
Open the door.	Bakhil deple
Please get in.	dhayamanthudh ulai bale
Read it again.	Kudonji sarthi odhla
Read it aloud.	Jor manthdh odhla
She bent down.	Aal bagyal
Some fish fly.	Kelav meendha fry
This is a map.	Indh onji nakshe
Tom is my son.	Tom yenna mage
We're in town.	Nama oorudu ulla
Were you shot?	Nik gundu haakyera?
What about us?	Nama dada avaste?
Can I help you?	Nik yenna sahaya boda
Can I help you?	Ereg yenna sahaya boda
Clean the room.	Kone dhekk
Don't touch it.	Aven muttodchi
Get out of bed!	Hasiged-dh pidai bala
Happy New Year!	Posa varshadha solmelu.
Happy New Year!	Posa varshadha solmelu.
Happy birthday!	Posa varshadha solmelu.
He has a beard.	Ayeg gadda undu
He is an actor.	Aye onji nata
He needs money.	Ayeg kaas bodu
He was hard up.	Ayeda masth kaas undu
He was hard up.	Ayeg kaas dha kammi ijji 
I like history.	Yenk ithihasa ista
I like the dog.	Yenk nayi ista aand
I must buy one.	Yan onji depod
I'll come back.	Yan pirav barpe
I'll phone you.	Yan nik call manpve
I'll stay home.	Yan illad kulve
I'm an atheist.	Yan deveren nambuji
I'm an atheist.	Yan moodanambike manpuji
I'm very tired.	Yenk masth sakand
It's hot today.	Ini masth bechha undu 
It's this book.	Indhe avu booku
It's your move.	Ithe ninna hejje
Only God knows.	Deverege gothu
Summer is over.	Aregala mugind
Take your time.	Aaramad manpu
Think about it.	Yochane manpu
This is a book.	Indh onji booku
This is a book.	Indh onji booku
This is my bag.	Indh yenna cheela
This is my dog.	Indh yenna nayi
Wash your feet.	Ninna kaar dhekk
We study music.	Nama sangeetha kalthondh ulla
We'll call you.	Nama ninnan lepwa
We'll call you.	Nama eren lepwa
Where were you?	Olu itha?
Where were you?	Olu ithar?
You have to go.	Nik povod aapund
You look tired.	Ee masth bachi leka thojwa
You're kidding!	Ee kushal manthondh ulla
A man must work.	Onji manushye bele manpode
Are you at home?	Ee illad ullana?
Are you guys OK?	Nikul pura sari ullara
Come home early.	Illag bega bala
Come if you can.	Barre apinanda bala
Congratulations!	Abhinandhane 
Congratulations!	Abhinandhane
Did he go there?	Aye ade poyena
Did you miss me?	Nik yenna nenap aanda?
Don't be absurd.	Marler leka manpodchi
He came running.	Aye balthondh bathe
He can't be ill.	Aye ushar ijji andh apuji 
He has a hat on.	Aye tharet toppi pad-dhe
He reads Arabic.	Aye arabic oodhwe
He's my husband.	Aar yenna gandani
How is everyone?	Matha yencha uller?
How is it going?	Yencha povondh undu?
How old are you?	Ninna praya yeth?
How rude of you!	Ee yeth dhorag
How rude of you!	Ee yeth dhorag
I cooked dinner.	Yan rathre dha kajip manthe
I feel nauseous.	Yenk kakyare barondh undu
I go every year.	Yan prathi varsha pope
I heard a noise.	Yenk onji shabdha kend
I like this one.	Yenk indh ista aand
I run every day.	Yan dhinola balpwe
I saw her again.	Yan alen kuda thooye
I want a guitar.	Yenk guitar bodu
I was assaulted.	Yenk hakyer
I'm a good cook.	Yan yedde kajip manpve
I'm a good cook.	Yan yedde kajip manpve
I'm lucky today.	Yenk ini bhagya undu
Is anybody here?	Yera ullara?
Is it not black?	Avu kap atha?
Is there a cafe?	Alpa cafe unda?
Let's fly kites.	Nama galipata rapaga
No, I didn't go.	Ijji,yan poyiji 
Nobody's around.	Yerla ijjer (Onji naramani la ijje)
Now stop crying.	Ithe bulpuna budu
Open your mouth!	Ninna bai therela
Please sit down.	Dhayamanthudh Kulle
She is a beauty.	Aal masth shok ullal
She talks a lot.	Aal masth patherval
She talks a lot.	Aal masth patherval
That isn't fair.	Av sari ath
That's my fault.	Avu yenna thap
The dog is mine.	Indh yenna nayi
The power's out.	Current ijji
These are birds.	Avu pakshilu
This is for you.	Indh nik 
We lack nothing.	Namak dala kammi ijji
We study Arabic.	Nama arabic kalthondh ulla
What time is it?	Ithe dha samaya dhadha?
What time is it?	Ithe dha samaya dhadhe?
Where's my book?	Yenna booku wol undu?
You startled me!	Ee yenk podige kattava
You're a person.	Ee onji manushya
Are you a doctor?	Eer doctor aa?
Can you teach me?	Yenk kalpawana?
Climb to the top.	Aytha mith mithar
Come and join us.	Bala namot serla
Come sit with us.	Bala namot kulla
Cut the potatoes.	Batate thundu manpu
Do you have rice?	Ninnada ari unda?
Don't make faces.	Mone manpodchi
Don't make noise.	Shabdha manpodchi
Have a good time.	Gammath manpu 
Have a nice time.	Gammath manpu 
He has long legs.	Ayena kaar udhdha
He is her friend.	Aye alna dosti
He likes oranges.	Ayeg chithpuli ista
He likes oranges.	Ayeg chithpuli ista
He must love you.	Aye ninnan moke manthondh ulle
He speaks Arabic.	Aye arabic patherwe
Here is your bag.	Indha ninna cheela
I can't remember.	Yenk nenap apuji 
I don't know him.	Yenk ayena gurtha ijji
I have a problem.	Yenk onji samasye undu
I have to go now.	Yan ithe pidhadod
I live near here.	Yenk moole kaithal upunu
I love my mother.	Yan yenna amman moke manpve
I must leave now.	Yan budod
I'm really tired.	Yenk masth bachind
I'm very thirsty.	Yenk masth bajal avondh undu
It's April first.	Ini april onji 
It's now my turn.	Ithe yenna baari
Let me try again.	Yan kudonji sarthi manpve
Nice to meet you.	Ninnan thikudh yedde aand
Please follow me.	Dhayamanthudh pirav bale
Please sign here.	Dhayamanthudh moolu sahi padle 
She betrayed you.	Aal nik mosa manthal
Sit down, please.	Dhayamanthudh kulle
The car is ready.	Gaadi thayar aand
This is your dog.	Indh ninna nayi
This is your key.	Indh ninna chavi
This isn't right.	Indh sari ath
Tom is my friend.	Tom yenna dosti
We're going home.	Nama illag povondh ulla
We're in a hurry.	Nama amasarad ulla
Welcome to Japan.	Japan gh bathinek swagatha
What is your age?	Ninna praya yeth?
What's that bird?	Av vow pakki?
What's the story?	Kathe dada?
What's your name?	Ninna pudhar enchina?
Where did you go?	Ee vodeg poyini?
Where is the bar?	Chendiangadi vol undu?
Whose turn is it?	Indh yerna baari?
You may be right.	Ee onja sari
Are your eyes bad?	Ninna kan sari ijja?
Birds build nests.	Pakki goodu katdhund
Birds build nests.	Pakki goodu katund
Boys will be boys.	Aanul anule adhupuver
Can I do anything?	Yan dadandala manpoda?
Didn't you go out?	Ee pidhai poyijana?
Didn't you go out?	Eer pidhai poyijara?
Didn't you go out?	Eer pidhai poyijara?
Do you believe me?	Yennan nambvana?
Do you believe me?	Yennan nambvatha?
Do you believe me?	Yenna mith nambike undatha?
Don't deceive him.	Yenk mosa manpodchi
He began to shout.	Aye kalkare shuru manthe
He came to see me.	Aye yennan thooyare bathe
He employs a maid.	Aye beledhalen dheeye
He is after a job.	Aye bele dha pirav ulle
He is walking now.	Aye ithe nadathondh ulle
He studied abroad.	Aye vidheshad kalthe
He turned traitor.	Aye deshadrohi aye
He's already left.	Aye yepane budiye?
I can drive a car.	Yenk gaadi budoli
I cried all night.	Yan idi rathre bulthe
I got very sleepy.	Yenk masth nidre bathind
I have a headache.	Yenna thare bene avondh undu
I have a headache.	Yenna thare pudavondh undu
I have some money.	Yenada chur kaas undu
I haven't met him.	Yan ayen thikudh ijji
I listen to music.	Yan padhya kenve
I saw him running.	Yan ayen balpuna thooye
I saw him running.	Yan aren balpuna thooye
I truly loved her.	Yan alen sathyavadh moke manthe
I work for a bank.	Yan bank du bele manthondh ulle
I'm getting happy.	Yenk kushi avondh undu
I'm not a student.	Yan onji vidhyarthi
I'm not like that.	Yan ancha ath
I'm really hungry.	Yenk sathya bada avondh undu
It's not my fault.	Av yenna thappu ath
It's starting now.	Av ithe shuru aapund
My bag was stolen.	Yenna cheelan kandyer
My eyes are tired.	Yenna kan bachund
No one's in sight.	Moolu yerla ijjer
Put your hands up!	Kai mith dherpule
She began to sing.	Aal padhya panre shuru manthal
She has blue eyes.	Aleg neeli kan undu
She isn't married.	Aleg madhime athiji
Tell me the truth.	Yennada sathya panla
The earth rotates.	Bhoomi thirgund
Try it once again.	Kuda manpu 
Try it once again.	Kudonji sarthi manpu 
Turn on the radio.	Radio chalu manpu
We don't know her.	Namak alna gurtha ijji 
We don't know him.	Namak ayena gurtha ijji
We have good news.	Namada yedde sudhi undu
What is happiness?	Kushi panda dada?
What is happiness?	Dada kushi panda?
What is your name?	Ninna pudar enchina?
What's the matter?	Dadand ithe?
Where do you live?	Ee vol upuni?
Where do you live?	Eer vol upuni?
Where do you live?	Vol upuni ee?
Where do you live?	Vol upuni eer?
Where do you live?	Vol upuni ee?
Where is the book?	Booku vol undu?
Where's the beach?	Kadal vol undu?
Who made this pie?	Indh pie yer manthin?
Yes. That's right.	Andh.Av sari
You have to leave.	Ee ithe budodu
Are you busy today?	Nik ini purshoth unda?
Are you busy today?	Ini nik purshoth unda?
Can we have a talk?	Nama patheroliya?
Come along with us.	Nama otug bala
Did you sleep well?	Ee sari nidre manthana?
Do you remember me?	Nik yenna nenap unda?
Don't give up hope.	Baravase budodchi 
Don't throw stones.	Kal dhakodchi
Everyone likes her.	Pureregla aal panda ista
Everyone likes him.	Pureregla aye panda ista
Have you gone nuts?	Nik marl mini pathinda?
He breathed deeply.	Aye jorud swasa dethe
He closed his eyes.	Aye kan muchiye
He cried and cried.	Aye buthondh ithe
He is a simple man.	Aye samanya manushye
He is sure to come.	Aye barpene
He isn't my cousin.	Aye yenna sodharasambandhike ath
He isn't my cousin.	Yenna sodharasambandhike aye ath
He waited his turn.	Aye ayena baari barpuna muta kathe
He works at a bank.	Aye bank du bele manpve
He's a good person.	Aye yedde jana 
I admit my mistake.	Yenna thappu yan opve
I can read English.	Yenk english odholi
I can read English.	Yenk english odhare barpund
I can't believe it!	Yenk aven nambare apuji 
I heard him go out.	Yenk aye poyina kend
I know her address.	Yenk alena vilasa gothund
I know his address.	Yenk ayena vilasa gothund
I know those women.	Yenk aa ponjov nakul gothund
I know your father.	Yenk ninna ammer gothund
I sort of like him.	Yenk aye ista ayi leka avondh undu
I still don't know.	Yenk ithela gothuji
I was born in 1960.	Yan 1960 du putye
I was born in 1979.	Yan 1979 du putye
I watch television.	Yan dhooradharshana thoope
I worked all night.	Yan idi rathre bele manthe
I worked all night.	Rathre idi bele manthe yan
I'll see you later.	Ninnan yan boka thoope
I'll see you later.	Bokka thikga nama
I'm as tall as you.	Yan ninathe udha ulle
I'm coming at once.	Yan orane barpe
Is this book yours?	Indh ninna booku aa?
It is already dark.	Ithene kathale aand
It looks like snow.	Av hima leka thojund
It started to snow.	Hima boorre shuru aand
It was sort of fun.	Onji lekkad av gammath ithind
It's mine, not his.	Av yenna, Ayena ath
It's mine, not his.	Av yenna, Arna ath
It's too expensive!	Av masth dhubari 
It's too expensive!	Av masth dhubari
It's very hot here.	Moolu masth becha undu
Let me handle this.	Indhen yan thoope
Let's take a train.	Nama rail pathuga
My car is a Toyota.	Yenna gaadi toyota
My family is small.	Yenna kutumba yellia
My wife is Chinese.	Yenna bodedhi Chinese
My wife is Chinese.	Chinese bodedhi yenna
No one can help me.	Yenk yerla sahaya manpare apuji 
She is very pretty.	Aal masth shok ullal
She leaped for joy.	Aal kushit lagyal
